b'Name',b'Creator',b'First public release',b'Latest stable version',b'Latest Release Date',b'Programming language',b'Cost (US$)',b'Software license',b'Open source'
b'TextEdit',b'Apple Inc.',b'2001',b'1.12',b'2016-08-04',b'',b'Free (also bundled with macOS)',b'New BSD',b'Yes'
b'TextMate',b'MacroMates',b'2004-10-10',b'1.5.11',b'2012-07-13',b'Objective-C++',b'$53 (\xe2\x82\xac39)',"b'Proprietary, with MIT components. Version 2 released under GPLv3'",b'Yes (from version 2)'
b'TextPad',b'Helios Software Solutions',b'1992',b'8.1.1',b'2016-12-07',b'',b'$30.00 (\xc2\xa316.50)',b'Shareware',b'No'
b'TextWrangler',b'Bare Bones Software',b'2003',b'5.5.1',b'2016-07-27',b'',b'Free',b'Proprietary',b'No'
b'The SemWare Editor',b'Sammy Mitchell',b'1985-11',b'4.4',b'2005-06-24',"b'C, SAL'",b'$99',b'Proprietary',b'No'
b'UltraEdit',b'IDM Computer Solutions',b'1994',b'24.00',b'2017-02-09',b'C++',b'$79.95',b'Proprietary',b'No'
b'VEDIT',"b'Ted Green, Greenview Data'",b'1980',b'6.24.2',b'2015-01-12',"b'Assembly, C'","b'$89 standard, $239 Pro64'",b'Proprietary',b'No'
b'vi',b'Bill Joy',b'1976',b'3.7',b'',b'C',b'Free',b'BSD or CDDL',b'Yes'
b'Vim',b'Bram Moolenaar',b'1991',b'8.0.0402',b'2017-03-02',"b'C, Vim script'",b'Free',b'GPL compatible',b'Yes'
b'Visual Studio Code',b'Microsoft',b'2015',b'1.10.1',b'2017-03-03',"b'JavaScript, C#, C++, JSON, HTML, PHP, Python, Markdown, TypeScript, CSS'",b'Free',b'MIT',b'Yes'
b'Xeditor',b'appsoft Technologies GmbH',b'2013',b'2',b'',"b'Webbased, JavaScript'",b'starts at $3250',b'Proprietary',b'No'
b'XEmacs',b'Lucid Inc.',b'1991',b'21.4.22',b'2009-01-30',"b'C, Emacs Lisp'",b'Free',b'GPL',b'Yes'
b'Yi',b'Don Stewart',b'2005',b'0.8.1',b'2014-04-11',b'Haskell',b'Free',b'GPL',b'Yes'
